time_ps,mem_init,accepted,x_hex,y_hex,h_hex,x,y,err,h,time_ns
77900,1,1,4003332e,4003332e,3ccccccd,2.0499987602233887,2.0499987602233887,nan,0.02500000037252903,77.9
78850,1,1,4004ccc8,4004ccc8,3ccccccd,2.0749988555908203,2.0749988555908203,nan,0.02500000037252903,78.85
79800,1,1,40066662,40066662,3ccccccd,2.099998950958252,2.099998950958252,nan,0.02500000037252903,79.8
80750,1,1,4007fffc,4007fffc,3ccccccd,2.1249990463256836,2.1249990463256836,nan,0.02500000037252903,80.75
81700,1,1,40099996,40099996,3ccccccd,2.1499991416931152,2.1499991416931152,nan,0.02500000037252903,81.7
82650,1,1,400b3330,400b3330,3ccccccd,2.174999237060547,2.174999237060547,nan,0.02500000037252903,82.65
83600,1,1,400cccca,400cccca,3ccccccd,2.1999993324279785,2.1999993324279785,nan,0.02500000037252903,83.6
84550,1,1,400e6664,400e6664,3ccccccd,2.22499942779541,2.22499942779541,nan,0.02500000037252903,84.55
85500,1,1,400ffffe,400ffffe,3ccccccd,2.249999523162842,2.249999523162842,nan,0.02500000037252903,85.5
86450,1,1,40119998,40119998,3ccccccd,2.2749996185302734,2.2749996185302734,nan,0.02500000037252903,86.45
87400,1,1,40133332,40133332,3ccccccd,2.299999713897705,2.299999713897705,nan,0.02500000037252903,87.4
88350,1,1,4014cccc,4014cccc,3ccccccd,2.3249998092651367,2.3249998092651367,nan,0.02500000037252903,88.35
89300,1,1,40166666,40166666,3ccccccd,2.3499999046325684,2.3499999046325684,nan,0.02500000037252903,89.3
90250,1,1,40180000,40180000,3ccccccd,2.375,2.375,nan,0.02500000037252903,90.25
91200,1,1,4019999a,4019999a,3ccccccd,2.4000000953674316,2.4000000953674316,nan,0.02500000037252903,91.2
92150,1,1,401b3334,401b3334,3ccccccd,2.4250001907348633,2.4250001907348633,nan,0.02500000037252903,92.15
93100,1,1,401cccce,401cccce,3ccccccd,2.450000286102295,2.450000286102295,nan,0.02500000037252903,93.1
94050,1,1,401e6668,401e6668,3ccccccd,2.4750003814697266,2.4750003814697266,nan,0.02500000037252903,94.05
95000,1,1,40200002,40200002,3ccccccd,2.500000476837158,2.500000476837158,nan,0.02500000037252903,95.0
95950,1,1,4021999c,4021999c,3ccccccd,2.52500057220459,2.52500057220459,nan,0.02500000037252903,95.95
96900,1,1,40233336,40233336,3ccccccd,2.5500006675720215,2.5500006675720215,nan,0.02500000037252903,96.9
97850,1,1,4024ccd0,4024ccd0,3ccccccd,2.575000762939453,2.575000762939453,nan,0.02500000037252903,97.85
98800,1,1,4026666a,4026666a,3ccccccd,2.6000008583068848,2.6000008583068848,nan,0.02500000037252903,98.8
99750,1,1,40280004,40280004,3ccccccd,2.6250009536743164,2.6250009536743164,nan,0.02500000037252903,99.75
100700,1,1,4029999e,4029999e,3ccccccd,2.650001049041748,2.650001049041748,nan,0.02500000037252903,100.7
101650,1,1,402b3338,402b3338,3ccccccd,2.6750011444091797,2.6750011444091797,nan,0.02500000037252903,101.65
102600,1,1,402cccd2,402cccd2,3ccccccd,2.7000012397766113,2.7000012397766113,nan,0.02500000037252903,102.6
103550,1,1,402e666c,402e666c,3ccccccd,2.725001335144043,2.725001335144043,nan,0.02500000037252903,103.55
104500,1,1,40300006,40300006,3ccccccd,2.7500014305114746,2.7500014305114746,nan,0.02500000037252903,104.5
105450,1,1,403199a0,403199a0,3ccccccd,2.7750015258789062,2.7750015258789062,nan,0.02500000037252903,105.45
106400,1,1,4033333a,4033333a,3ccccccd,2.800001621246338,2.800001621246338,nan,0.02500000037252903,106.4
107350,1,1,4034ccd4,4034ccd4,3ccccccd,2.8250017166137695,2.8250017166137695,nan,0.02500000037252903,107.35
108300,1,1,4036666e,4036666e,3ccccccd,2.850001811981201,2.850001811981201,nan,0.02500000037252903,108.3
109250,1,1,40380008,40380008,3ccccccd,2.875001907348633,2.875001907348633,nan,0.02500000037252903,109.25
110200,1,1,403999a2,403999a2,3ccccccd,2.9000020027160645,2.9000020027160645,nan,0.02500000037252903,110.2
111150,1,1,403b333c,403b333c,3ccccccd,2.925002098083496,2.925002098083496,nan,0.02500000037252903,111.15
112100,1,1,403cccd6,403cccd6,3ccccccd,2.9500021934509277,2.9500021934509277,nan,0.02500000037252903,112.1
113050,1,1,403e6670,403e6670,3ccccccd,2.9750022888183594,2.9750022888183594,nan,0.02500000037252903,113.05
114000,1,1,4040000a,4040000a,3ccccccd,3.000002384185791,3.000002384185791,nan,0.02500000037252903,114.0
